,P_fast,P_slow,Change
25,11,20,1369.57042
2,5,10,1366.6525699999993
29,13,20,895.9670300000002
26,13,14,848.6714099999991
7,5,20,846.0716499999999
24,11,18,736.3428300000003
9,7,10,689.2317999999997
12,7,16,661.6948600000001
3,5,12,636.6769299999996
5,5,16,612.7274699999997
27,13,16,596.8917499999999
1,5,8,584.4911599999996
20,9,20,570.9229399999997
17,9,14,520.1176299999996
19,9,18,516.1174500000001
8,7,8,508.4847099999997
6,5,18,507.9801100000002
0,5,6,468.64928999999995
23,11,16,441.3417800000001
13,7,18,406.01927
11,7,14,366.78986
18,9,16,357.11226999999985
22,11,14,308.07552999999956
16,9,12,281.65835999999985
14,7,20,258.92123
10,7,12,258.8227399999999
21,11,12,258.1297199999996
15,9,10,246.1409799999998
28,13,18,204.28748000000002
4,5,14,192.18427999999972
